route_id	trip_id	departure_time	stop_id	stop_sequence	timepoint	service_id	trip_headsign	direction_id	shape_id	route_short_name	route_long_name	headway
10-112	15245289-AUG19-MVS-BUS-Weekday-01	07:59:00	56778	1	1	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:00:00	42382	2	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:01:00	40189	3	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:01:00	40284	4	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:02:00	40722	5	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:02:00	40719	6	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:02:00	40716	7	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:02:00	40743	8	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:03:00	40714	9	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:03:00	40712	10	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:03:00	40718	11	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:04:00	40709	12	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:04:00	40707	13	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:05:00	40705	14	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:05:00	40724	15	1	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:05:00	14281	16	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:06:00	14282	17	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:06:00	14283	18	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:07:00	14273	19	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:07:00	14272	20	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:08:00	14022	21	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:09:00	14267	22	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:09:00	14026	23	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:09:00	14029	24	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:09:00	14030	25	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:10:00	14260	26	1	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:10:00	14256	27	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:11:00	14255	28	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:11:00	14252	29	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:12:00	14251	30	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:12:00	14248	31	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:13:00	14247	32	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:13:00	14244	33	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
10-112	15245289-AUG19-MVS-BUS-Weekday-01	08:14:00	14243	34	0	AUG19-MVS-BUS-Weekday-01	Southbound 10 Downtown/Via Central/Convention Ctr	1	100021	10	Central Av - University Av - Northtown	7
