stop_id	stop_name	stop_lat	stop_lon	type
1000	50th St W & Upton Ave S	44.912365	-93.315179	stop
10000	Carmen Ave & Claude Way E	44.857531	-93.041008	stop
10001	Carmen Ave & 65th St E	44.855001	-93.042491	stop
10002	Carmen Ave & Village Square Center	44.853643	-93.042243	stop
10003	Carmen Ave & Lake Bridge Apts	44.853399	-93.040785	stop
10004	67th St E & Catherine Ave	44.851718	-93.036841	stop
10005	67th St E & Clayton Ave	44.851697	-93.034839	stop
10006	Clayton Ave & 68th St E	44.851302	-93.034785	stop
10007	Clayton Ave & 69th St E	44.849902	-93.034773	stop
10008	Clayton Ave & 70th St E	44.848212	-93.034733	stop
10013	70th St E & Cloman Ave E	44.847966	-93.032265	stop
10014	70th St E & Cooper Ave E	44.847948	-93.028704	stop
10017	70th St E & Dawn Ave	44.847957	-93.024624	stop
1002	50th St W & Sheridan Ave S	44.912341	-93.312642	stop
10024	75th St E & Craig Ave E	44.840836	-93.027131	stop
10026	75th St E & Cloman Way	44.840813	-93.032276	stop
10028	75th St E & Clayton Ave	44.840826	-93.034482	stop
10029	Clayton Ave & 76th St E	44.839953	-93.034694	stop
10030	Clayton Ave & 77th St E	44.838016	-93.034635	stop
10031	Clayton Ave & 78th St E	44.837264	-93.034657	stop
10032	78th St E & Charles Way	44.837231	-93.03642	stop
10034	78th St E & Rolling Meadows Apts	44.837217	-93.037812	stop
10035	78th St E & Chandler / Cahill	44.836535	-93.040229	stop
10036	78th St E & Cahill Ave	44.836378	-93.042173	stop
10037	Fillmore Ave E & Robert St	44.941361	-93.084769	stop
10039	Fillmore Ave E & State St	44.943261	-93.080287	stop
1004	50th St W & Queen Ave S	44.912321	-93.310097	stop
10040	Fillmore Ave E & Lafayette Rd W	44.943613	-93.078382	stop
10041	Fillmore Ave E & Lafayette Rd E	44.943831	-93.075466	stop
10042	Fillmore Ave E & Ridder Circle	44.943484	-93.073947	stop
10044	Plato Blvd & Chester St	44.941021	-93.073295	stop
10045	Plato Blvd & State St	44.939498	-93.077998	stop
10046	Plato Blvd & Eva St	44.939186	-93.080285	stop
10048	Cesar Chavez St & Ada St	44.929481	-93.076961	stop
1005	50th St W & Penn Ave S	44.912309	-93.308216	stop
10050	Cesar Chavez St & Bancroft Ave	44.928429	-93.073356	stop
10052	Concord St & Kansas St	44.926024	-93.067108	stop
10053	Concord St & Page St	44.924903	-93.065249	stop
10054	Concord St & Curtice St	44.923123	-93.0633	stop
10055	Concord St & Belvidere St	44.922216	-93.062561	stop
10057	Concord St & Annapolis St	44.91961	-93.05984	stop
10058	Concord St N & Bircher Ave	44.918228	-93.058572	stop
10059	Concord St N & Stanley Ave	44.915996	-93.056503	stop
10060	Concord St N & Butler Ave	44.914188	-93.054768	stop
10061	Concord St N & #1180 - Super America	44.908711	-93.050129	stop
10062	Concord St N & Bryant Ave N	44.905799	-93.047015	stop
10064	Concord St N & #522	44.900527	-93.040868	stop
10065	Concord St N & Wentworth Ave	44.898585	-93.038999	stop
10066	Concord Exchange & Grand Ave	44.892621	-93.034965	stop
10067	Concord Exchange & Veterans Memorial Dr	44.89137	-93.034458	stop
10068	Concord Exchange & #144	44.889151	-93.033886	stop
10069	Concord Exchange & Camber Ave	44.887304	-93.03341	stop
1007	50th St W & Newton Ave S	44.912304	-93.306266	stop
10070	Concord Exchange & Armour Ave	44.884766	-93.032553	stop
10071	Concord Exchange & Concord St	44.881641	-93.032087	stop
10072	Concord St & Armour Ave	44.884807	-93.032326	stop
10074	Concord St S & Dale Place	44.873081	-93.029103	stop
10076	Concord St S & Poplar St E	44.866066	-93.024307	stop
10078	Concord Blvd & Linden St	44.86416	-93.023365	stop
10079	Concord Blvd & Dawn Way E	44.862749	-93.022701	stop
10080	Dawn Way & 61st St E	44.860395	-93.025663	stop
10081	Dawn Way & 63rd St E	44.858872	-93.025323	stop
10082	Dawn Way & 64th St E	44.857097	-93.02533	stop
10083	Dawn Way & 65th St E	44.855297	-93.025325	stop
10085	Dawn Way & 66th St / 67th St E	44.852901	-93.025231	stop
10086	Dawn Ave & 69th St E	44.84988	-93.024613	stop
10087	Dawn Ave & 70th St E	44.84819	-93.024585	stop
10088	Dawn Ave E & 71st St E	44.84628	-93.024542	stop
1009	50th St W & Logan Ave S	44.912297	-93.30371	stop
10090	Dawn Ave E & 72nd St E	44.84448	-93.024553	stop
10095	Dawn Ave & 76th Way E	44.839218	-93.024481	stop
10096	Dawn Ave & 77th St E	44.838095	-93.024488	stop
10097	Dawn Ave & 78th St E	44.837281	-93.024446	stop
10098	Dawn Ave & Corey Path	44.836076	-93.02473	stop
101	50th St W & Lyndale Ave S	44.912257	-93.28838	stop
10100	Dawn Ave & 80th St E	44.833686	-93.025111	stop
10101	80th St E & Corey Path	44.83365	-93.026229	stop
10103	80th St E & Cooper Ave E	44.833635	-93.029619	stop
10106	80th St E & Clayton Ave	44.83364	-93.033791	stop
10108	80th St E & Cahill Plaza	44.834265	-93.041832	stop
1011	50th St W & Minnehaha Pkwy	44.912281	-93.298111	stop
10116	College Trail & Blaine Ave	44.827194	-93.050344	stop
10119	St Clair Ave & Stairs to Grotto	44.934173	-93.13119	stop
1012	50th St W & James Ave S	44.912295	-93.301158	stop
10120	St Clair Ave & Avon St	44.934178	-93.13369	stop
10121	St Clair Ave & Victoria St	44.934186	-93.136243	stop
10123	St Clair Ave & Milton St	44.93421	-93.138773	stop
10124	St Clair Ave & Chatsworth St	44.934218	-93.141323	stop
10126	St Clair Ave & Oxford St	44.934215	-93.143884	stop
10127	St Clair Ave & Lexington Pkwy	44.934225	-93.146449	stop
10129	St Clair Ave & Dunlap St	44.934236	-93.14901	stop
10130	St Clair Ave & Griggs St	44.934246	-93.151579	stop
10131	St Clair Ave & Syndicate St	44.934256	-93.154144	stop
10133	St Clair Ave & Hamline Ave	44.934267	-93.156712	stop
